ID produktu;Kategoria;Podkategoria;Nazwa produktu;Cena zakupu;ID Dostawcy;Rozmiar opakowania;Minimum do zamówienia
OFF-ST-10001228;Wsparcie biura;Składowanie;Fellowes Personal Hanging Folder Files, Navy;17,19;PIE-22;5;45
OFF-EN-10003296;Wsparcie biura;Koperty;Tyvek Side-Opening Peel & Seel Expanding Envelopes;131,2;HAR-21;8;72
OFF-ST-10004804;Wsparcie biura;Składowanie;"Belkin 19"" Vented Equipment Shelf, Black";31,41;PIE-22;2;4
TEC-PH-10001580;Technologiczne;Telefony;Logitech Mobile Speakerphone P710e - speaker phone;117,43;PMM-13;3;12
TEC-AC-10000290;Technologiczne;Akcesoria;Sabrent 4-Port USB 2.0 Hub;9,1;NAN-19;10;50
OFF-ST-10002790;Wsparcie biura;Składowanie;Safco Industrial Shelving;76,07;COL-25;1;5
OFF-BI-10003460;Wsparcie biura;Segregatory;Acco 3-Hole Punch;4,73;LEC-23;14;84
OFF-AP-10002203;Wsparcie biura;Urządzenia;Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac;-1,43;PLA-26;4;40
TEC-MA-10003353;Technologiczne;Maszyny;Xerox WorkCentre 6505DN Laser Multifunction Printer;323,99;STI-12;1;5
TEC-PH-10001433;Technologiczne;Telefony;Cisco Small Business SPA 502G VoIP phone;89,24;STI-12;1;3
TEC-AC-10004469;Technologiczne;Akcesoria;Microsoft Sculpt Comfort Mouse;57,53;DOD-20;13;91
OFF-AR-10003602;Wsparcie biura;Artykuły;Quartet Omega Colored Chalk, 12/Pack;6,25;PIE-22;23;230
OFF-FA-10003472;Wsparcie biura;Łączniki;Bagged Rubber Bands;1,31;MED-24;10;90
OFF-ST-10004180;Wsparcie biura;Składowanie;Safco Commercial Shelving;29,77;PIE-22;3;6
OFF-EN-10004386;Wsparcie biura;Koperty;Recycled Interoffice Envelopes with String and Button Closure, 10 x 13;26,39;PLA-26;9;90
OFF-ST-10003208;Wsparcie biura;Składowanie;Adjustable Depth Letter/Legal Cart;234,08;COL-25;6;60
TEC-AC-10003628;Technologiczne;Akcesoria;Logitech 910-002974 M325 Wireless Mouse for Web Scrolling;43,19;PC--16;11;77
FUR-FU-10003274;Meble;Meble;Regeneration Desk Collection;2,53;CRO-07;1;7
OFF-BI-10002557;Wsparcie biura;Segregatory;Presstex Flexible Ring Binders;5,01;PIE-22;23;230
OFF-PA-10002615;Wsparcie biura;Papier;"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled";6,44;PLA-26;4;8
OFF-AR-10001427;Wsparcie biura;Artykuły;Newell 330;7,53;PEN-28;20;100
OFF-PA-10000673;Wsparcie biura;Papier;Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad;7,87;COL-29;4;8
OFF-PA-10004470;Wsparcie biura;Papier;"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages";6,02;MED-24;1;4
OFF-ST-10000876;Wsparcie biura;Składowanie;Eldon Simplefile Box Office;10,95;SCR-27;3;12
OFF-LA-10002043;Wsparcie biura;Etykiety;Avery 489;11,18;HAR-21;19;114
OFF-BI-10004967;Wsparcie biura;Segregatory;Round Ring Binders;-0,27;SCR-27;6;54
TEC-PH-10001760;Technologiczne;Telefony;Bose SoundLink Bluetooth Speaker;212,93;PC--16;2;6
FUR-TA-10002903;Meble;Tabel;"Bevis Round Bullnose 29"" High Table Top";218,16;CRO-07;1;8
OFF-PA-10000474;Wsparcie biura;Papier;Easy-staple paper;37,92;HAR-21;3;12
TEC-AC-10001956;Technologiczne;Akcesoria;Microsoft Arc Touch Mouse;57,55;AKO-14;10;100
OFF-PA-10004100;Wsparcie biura;Papier;Xerox 216;7;SCR-27;3;9
OFF-BI-10000778;Wsparcie biura;Segregatory;GBC VeloBinder Electric Binding Machine;12,1;COL-29;18;162
OFF-SU-10000646;Wsparcie biura;Wsparcie;Premier Automatic Letter Opener;151,43;MED-24;19;133
OFF-FA-10002983;Wsparcie biura;Łączniki;Advantus SlideClip Paper Clips;3,68;LEC-23;9;63
OFF-LA-10004689;Wsparcie biura;Etykiety;Avery 512;3,09;COL-29;6;36
TEC-AC-10002001;Technologiczne;Akcesoria;Logitech Wireless Gaming Headset G930;155,19;WTF-11;15;75
FUR-BO-10004709;Meble;Regały;Bush Westfield Collection Bookcases, Medium Cherry Finish;12,76;AMP-04;1;5
FUR-FU-10004091;Meble;Meble;"Howard Miller 13"" Diameter Goldtone Round Wall Clock";47,41;AVF-02;1;5
FUR-CH-10001891;Meble;Krzesła;Global Deluxe Office Fabric Chairs;83,5;CRO-07;1;3
FUR-FU-10002918;Meble;Meble;Eldon ClusterMat Chair Mat with Cordless Antistatic Protection;64,6;OBE-10;1;3
OFF-BI-10004593;Wsparcie biura;Segregatory;Ibico Laser Imprintable Binding System Covers;3,14;COL-25;21;168
OFF-FA-10004854;Wsparcie biura;Łączniki;Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box;12,28;SCR-27;21;126
OFF-PA-10002105;Wsparcie biura;Papier;Xerox 223;9,59;COL-25;3;9
OFF-ST-10002756;Wsparcie biura;Składowanie;"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand";136,66;COL-25;8;80
OFF-PA-10004243;Wsparcie biura;Papier;Xerox 1939;28,08;COL-29;3;9
FUR-FU-10001861;Meble;Meble;Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts;28,91;TER-06;1;5
OFF-BI-10002706;Wsparcie biura;Segregatory;Avery Premier Heavy-Duty Binder with Round Locking Rings;20,85;PLA-26;14;140
FUR-TA-10002533;Meble;Tabel;BPI Conference Tables;29,21;OBE-10;1;8
FUR-FU-10002671;Meble;Meble;Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp;19,83;TER-06;1;4
OFF-AR-10003651;Wsparcie biura;Artykuły;Newell 350;4,23;TYP-30;8;72
OFF-BI-10001072;Wsparcie biura;Segregatory;GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack;22,13;MED-24;14;70
OFF-AR-10002135;Wsparcie biura;Artykuły;Boston Heavy-Duty Trimline Electric Pencil Sharpeners;62,18;SCR-27;8;64
OFF-AR-10002804;Wsparcie biura;Artykuły;Faber Castell Col-Erase Pencils;6,89;PEN-28;11;110
FUR-FU-10001918;Meble;Meble;C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings;4,68;ANG-05;1;8
FUR-CH-10004086;Meble;Krzesła;Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs;259,64;BES-08;1;5
FUR-FU-10001756;Meble;Meble;Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany;16,94;TER-06;1;5
OFF-LA-10000634;Wsparcie biura;Etykiety;Avery 509;2,77;HAR-21;8;56
FUR-FU-10001588;Meble;Meble;Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black;41,73;ANG-05;1;9
TEC-PH-10002398;Technologiczne;Telefony;AT&T 1070 Corded Phone;100,34;PMM-13;3;9
OFF-PA-10001937;Wsparcie biura;Papier;Xerox 21;7;MED-24;2;4
OFF-AR-10003373;Wsparcie biura;Artykuły;Boston School Pro Electric Pencil Sharpener, 1670;26,95;HAR-21;8;48
FUR-CH-10002602;Meble;Krzesła;DMI Arturo Collection Mission-style Design Wood Chair;160,04;BES-08;1;7
TEC-MA-10002927;Technologiczne;Maszyny;Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier;2993,99;STI-12;1;3
TEC-AC-10000892;Technologiczne;Akcesoria;NETGEAR N750 Dual Band Wi-Fi Gigabit Router;122,4;AKO-14;9;81
OFF-FA-10000624;Wsparcie biura;Łączniki;OIC Binder Clips;5,37;SCR-27;17;85
TEC-AC-10001908;Technologiczne;Akcesoria;Logitech Wireless Headset h800;134,99;REN-17;13;65
FUR-FU-10001967;Meble;Meble;Telescoping Adjustable Floor Lamp;16,99;STI-01;1;10
TEC-PH-10003645;Technologiczne;Telefony;Aastra 57i VoIP phone;74,34;WTF-11;1;5
OFF-ST-10000675;Wsparcie biura;Składowanie;File Shuttle II and Handi-File, Black;28,81;PLA-26;9;90
FUR-CH-10003312;Meble;Krzesła;Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs;132,06;ANG-05;1;7
OFF-LA-10001074;Wsparcie biura;Etykiety;Round Specialty Laser Printer Labels;13,41;PIE-22;22;154
OFF-BI-10001524;Wsparcie biura;Segregatory;GBC Premium Transparent Covers with Diagonal Lined Pattern;1,68;PLA-26;15;150
TEC-PH-10004614;Technologiczne;Telefony;AT&T 841000 Phone;31,05;MIC-18;1;5
OFF-BI-10001153;Wsparcie biura;Segregatory;Ibico Recycled Grain-Textured Covers;3,45;PEN-28;20;120
OFF-BI-10001982;Wsparcie biura;Segregatory;Wilson Jones Custom Binder Spines & Labels;0,49;PIE-22;11;77
OFF-BI-10001922;Wsparcie biura;Segregatory;Storex Dura Pro Binders;6,35;SCR-27;13;104
TEC-CO-10001449;Technologiczne;Kopiarki;Hewlett Packard LaserJet 3310 Copier;647,99;REN-17;1;3
OFF-BI-10004140;Wsparcie biura;Segregatory;Avery Non-Stick Binders;4,72;COL-29;11;99
OFF-BI-10003314;Wsparcie biura;Segregatory;Tuff Stuff Recycled Round Ring Binders;5,26;PLA-26;10;80
FUR-TA-10004575;Meble;Tabel;Hon 5100 Series Wood Tables;226,96;EXW-09;1;8
OFF-FA-10000490;Wsparcie biura;Łączniki;"OIC Binder Clips, Mini, 1/4"" Capacity, Black";1,82;TYP-30;7;42
OFF-AR-10000122;Wsparcie biura;Artykuły;Newell 314;4,75;COL-25;19;171
TEC-PH-10000702;Technologiczne;Telefony;"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White";6,69;DOD-20;2;4
OFF-AR-10001374;Wsparcie biura;Artykuły;BIC Brite Liner Highlighters, Chisel Tip;8,56;PEN-28;16;128
OFF-PA-10001970;Wsparcie biura;Papier;Xerox 1881;18,05;COL-25;1;4
OFF-BI-10002160;Wsparcie biura;Segregatory;Acco Hanging Data Binders;4,12;PLA-26;15;90
OFF-BI-10004995;Wsparcie biura;Segregatory;GBC DocuBind P400 Electric Binding System;1442,65;HAR-21;6;42
FUR-BO-10002268;Meble;Regały;Sauder Barrister Bookcases;63,97;BBB-03;1;5
OFF-EN-10001137;Wsparcie biura;Koperty;#10 Gummed Flap White Envelopes, 100/Box;6,03;TYP-30;6;42
OFF-AR-10002399;Wsparcie biura;Artykuły;Dixon Prang Watercolor Pencils, 10-Color Set with Brush;6,01;PEN-28;24;240
OFF-PA-10002713;Wsparcie biura;Papier;Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”;10,04;LEC-23;1;4
OFF-AP-10001124;Wsparcie biura;Urządzenia;Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection;102,04;LEC-23;6;60
OFF-LA-10001158;Wsparcie biura;Etykiety;"Avery Address/Shipping Labels for Typewriters, 4"" x 2""";15,32;PLA-26;21;210
FUR-CH-10000785;Meble;Krzesła;Global Ergonomic Managers Chair;191,84;STI-01;1;10
OFF-AR-10003732;Wsparcie biura;Artykuły;Newell 333;3,51;SCR-27;13;91
FUR-FU-10000023;Meble;Meble;Eldon Wave Desk Accessories;8,48;CRO-07;1;8
OFF-BI-10002412;Wsparcie biura;Segregatory;Wilson Jones “Snap” Scratch Pad Binder Tool for Ring Binders;8,41;LEC-23;24;216
OFF-SU-10001225;Wsparcie biura;Wsparcie;Staple remover;3,76;LEC-23;9;63
OFF-ST-10002406;Wsparcie biura;Składowanie;Pizazz Global Quick File;19,16;COL-29;3;30
OFF-PA-10002036;Wsparcie biura;Papier;Xerox 1930;7,06;COL-29;4;12
OFF-ST-10002205;Wsparcie biura;Składowanie;File Shuttle I and Handi-File;19,36;COL-29;5;50
TEC-AC-10003911;Technologiczne;Akcesoria;NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router;150,39;NAN-19;11;66
OFF-AR-10000658;Wsparcie biura;Artykuły;Newell 324;10,16;SCR-27;16;80
TEC-AC-10002076;Technologiczne;Akcesoria;Microsoft Natural Keyboard Elite;44,91;AKO-14;7;56
OFF-PA-10003039;Wsparcie biura;Papier;Xerox 1960;32,53;PLA-26;3;6
FUR-TA-10004915;Meble;Tabel;"Office Impressions End Table, 20-1/2""H x 24""W x 20""D";170,11;ANG-05;1;9
OFF-AP-10000696;Wsparcie biura;Urządzenia;Holmes Odor Grabber;-3,89;LEC-23;2;12
OFF-ST-10003327;Wsparcie biura;Składowanie;Akro-Mils 12-Gallon Tote;8,84;LEC-23;6;36
OFF-BI-10000309;Wsparcie biura;Segregatory;"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black";-1,67;LEC-23;19;114
OFF-PA-10004734;Wsparcie biura;Papier;Southworth Structures Collection;10,92;MED-24;4;12
OFF-BI-10002225;Wsparcie biura;Segregatory;"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""";22,29;SCR-27;22;198
TEC-AC-10004708;Technologiczne;Akcesoria;Sony 32GB Class 10 Micro SDHC R40 Memory Card;25,35;WTF-11;15;75
FUR-TA-10000617;Meble;Tabel;Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal;72,82;BBB-03;1;9
TEC-AC-10002335;Technologiczne;Akcesoria;Logitech Media Keyboard K200;27,64;NAN-19;7;56
TEC-MA-10001681;Technologiczne;Maszyny;Lexmark MarkNet N8150 Wireless Print Server;36,18;NAN-19;2;4
FUR-FU-10001935;Meble;Meble;3M Hangers With Command Adhesive;3,74;CRO-07;1;8
OFF-AR-10004757;Wsparcie biura;Artykuły;Crayola Colored Pencils;3,05;SCR-27;17;119
OFF-BI-10000050;Wsparcie biura;Segregatory;Angle-D Binders with Locking Rings, Label Holders;7,81;COL-29;17;153
TEC-PH-10003012;Technologiczne;Telefony;Nortel Meridian M3904 Professional Digital phone;137,05;AKO-14;3;6
TEC-CO-10002313;Technologiczne;Kopiarki;Canon PC1080F Personal Copier;833,99;X-H-15;2;10
OFF-BI-10003982;Wsparcie biura;Segregatory;Wilson Jones Century Plastic Molded Ring Binders;-2,7;HAR-21;11;110
OFF-BI-10004492;Wsparcie biura;Segregatory;Tuf-Vin Binders;33,79;TYP-30;8;64
OFF-ST-10000798;Wsparcie biura;Składowanie;2300 Heavy-Duty Transfer File Systems by Perma;29,73;PLA-26;6;48
OFF-PA-10002552;Wsparcie biura;Papier;Xerox 1958;9,59;COL-29;3;6
OFF-SU-10002573;Wsparcie biura;Wsparcie;"Acme 10"" Easy Grip Assistive Scissors";22,79;COL-25;20;140
OFF-ST-10001580;Wsparcie biura;Składowanie;Super Decoflex Portable Personal File;13,18;PIE-22;1;9
OFF-ST-10000934;Wsparcie biura;Składowanie;"Contico 72""H Heavy-Duty Storage System";24,59;HAR-21;4;12
TEC-AC-10000158;Technologiczne;Akcesoria;Sony 64GB Class 10 Micro SDHC R40 Memory Card;29,15;MIC-18;10;70
OFF-PA-10001947;Wsparcie biura;Papier;Xerox 1974;6,52;COL-29;3;12
OFF-AR-10003478;Wsparcie biura;Artykuły;Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack;8,14;COL-29;7;63
OFF-AP-10004249;Wsparcie biura;Urządzenia;Staple holder;15,2;PLA-26;2;12
TEC-CO-10004115;Technologiczne;Kopiarki;Sharp AL-1530CS Digital Copier;544,99;DOD-20;3;9
OFF-PA-10003724;Wsparcie biura;Papier;Wirebound Message Book, 4 per Page;8,09;PEN-28;1;3
FUR-TA-10002041;Meble;Tabel;Bevis Round Conference Table Top, X-Base;127,3;BES-08;1;2
OFF-PA-10002893;Wsparcie biura;Papier;"Wirebound Service Call Books, 5 1/2"" x 4""";14,33;LEC-23;1;3
OFF-LA-10003766;Wsparcie biura;Etykiety;Self-Adhesive Removable Labels;4,66;PLA-26;8;64
FUR-BO-10001972;Meble;Regały;O'Sullivan 4-Shelf Bookcase in Odessa Pine;105,25;EXW-09;1;7
FUR-CH-10003956;Meble;Krzesła;Novimex High-Tech Fabric Mesh Task Chair;47,56;AVF-02;1;3
OFF-PA-10000157;Wsparcie biura;Papier;Xerox 191;29,37;PLA-26;4;16
OFF-AR-10004344;Wsparcie biura;Artykuły;Bulldog Vacuum Base Pencil Sharpener;15,23;HAR-21;8;40
FUR-CH-10004886;Meble;Krzesła;Bevis Steel Folding Chairs;84,44;EXW-09;1;3
OFF-PA-10003845;Wsparcie biura;Papier;Xerox 1987;8,61;LEC-23;2;6
OFF-AR-10001573;Wsparcie biura;Artykuły;American Pencil;3,01;MED-24;14;98
OFF-EN-10000483;Wsparcie biura;Koperty;White Envelopes, White Envelopes with Clear Poly Window;22,27;COL-25;25;125
TEC-AC-10004114;Technologiczne;Akcesoria;KeyTronic 6101 Series - Keyboard - Black;42,22;WTF-11;14;98
FUR-FU-10004712;Meble;Meble;Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black;17,82;ANG-05;1;7
OFF-ST-10000918;Wsparcie biura;Składowanie;Crate-A-Files;13,73;PEN-28;5;40
FUR-CH-10000015;Meble;Krzesła;Hon Multipurpose Stacking Arm Chairs;272,92;CRO-07;1;9
FUR-FU-10003347;Meble;Meble;Coloredge Poster Frame;19,74;ANG-05;1;9
OFF-BI-10001543;Wsparcie biura;Segregatory;GBC VeloBinder Manual Binding System;53,27;LEC-23;19;114
TEC-MA-10000029;Technologiczne;Maszyny;Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner;100,09;MIC-18;2;4
OFF-AR-10000369;Wsparcie biura;Artykuły;Design Ebony Sketching Pencil;1,2;MED-24;15;150
OFF-BI-10004584;Wsparcie biura;Segregatory;GBC ProClick 150 Presentation Binding System;22,12;PIE-22;9;90
OFF-ST-10000617;Wsparcie biura;Składowanie;Woodgrain Magazine Files by Perma;2;PEN-28;2;18
OFF-ST-10003306;Wsparcie biura;Składowanie;Letter Size Cart;184,29;PIE-22;3;24
OFF-BI-10000773;Wsparcie biura;Segregatory;Insertable Tab Post Binder Dividers;0,56;PLA-26;22;220
TEC-AC-10002600;Technologiczne;Akcesoria;Belkin QODE FastFit Bluetooth Keyboard;45,84;STI-12;5;25
TEC-MA-10002937;Technologiczne;Maszyny;Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner;350,39;NAN-19;2;6
OFF-PA-10002230;Wsparcie biura;Papier;Xerox 1897;5,43;SCR-27;1;4
FUR-CH-10003396;Meble;Krzesła;Global Deluxe Steno Chair;70,05;CRO-07;1;8
FUR-FU-10000246;Meble;Meble;Aluminum Document Frame;15,89;CRO-07;1;9
OFF-ST-10000060;Wsparcie biura;Składowanie;Fellowes Bankers Box Staxonsteel Drawer File/Stacking System;72,78;LEC-23;10;70
OFF-ST-10003058;Wsparcie biura;Składowanie;Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays;30,51;PIE-22;5;40
OFF-PA-10002222;Wsparcie biura;Papier;"Xerox Color Copier Paper, 11"" x 17"", Ream";33,35;COL-29;4;16
FUR-CH-10002372;Meble;Krzesła;Office Star - Ergonomically Designed Knee Chair;90,7;AVF-02;1;9
OFF-LA-10001317;Wsparcie biura;Etykiety;Avery 520;4,66;COL-29;18;180
FUR-FU-10000206;Meble;Meble;GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs;4,28;BBB-03;1;9
OFF-AR-10000588;Wsparcie biura;Artykuły;Newell 345;25;PIE-22;19;152
OFF-ST-10001469;Wsparcie biura;Składowanie;Fellowes Bankers Box Recycled Super Stor/Drawer;57,22;COL-25;4;12
OFF-AR-10001953;Wsparcie biura;Artykuły;Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener;55,86;COL-29;24;216
OFF-AR-10003156;Wsparcie biura;Artykuły;50 Colored Long Pencils;12,8;MED-24;13;78
OFF-AR-10004974;Wsparcie biura;Artykuły;Newell 342;4,23;PEN-28;8;56
TEC-PH-10002365;Technologiczne;Telefony;Belkin Grip Candy Sheer Case / Cover for iPhone 5 and 5S;11,06;STI-12;2;10
OFF-ST-10000142;Wsparcie biura;Składowanie;Deluxe Rollaway Locking File with Drawer;365,98;COL-25;6;48
TEC-AC-10001772;Technologiczne;Akcesoria;Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive;22,2;MIC-18;14;112
FUR-CH-10000225;Meble;Krzesła;Global Geo Office Task Chair, Gray;52,64;AVF-02;1;9
FUR-CH-10002331;Meble;Krzesła;Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms;217,15;AMP-04;1;4
OFF-EN-10001415;Wsparcie biura;Koperty;Staple envelope;6,14;COL-25;10;60
OFF-AP-10002472;Wsparcie biura;Urządzenia;3M Office Air Cleaner;35,07;MED-24;2;4
TEC-AC-10004571;Technologiczne;Akcesoria;Logitech G700s Rechargeable Gaming Mouse;141,99;MIC-18;9;90
OFF-BI-10001098;Wsparcie biura;Segregatory;Acco D-Ring Binder w/DublLock;23,3;PEN-28;25;225
FUR-TA-10001889;Meble;Tabel;Bush Advantage Collection Racetrack Conference Table;76,36;CRO-07;1;9
OFF-BI-10000315;Wsparcie biura;Segregatory;Poly Designer Cover & Back;1,52;COL-25;18;144
OFF-SU-10003505;Wsparcie biura;Wsparcie;Premier Electric Letter Opener;75,31;COL-29;24;192
OFF-AP-10002578;Wsparcie biura;Urządzenia;Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote;42,07;MED-24;5;45
FUR-BO-10002824;Meble;Regały;Bush Mission Pointe Library;84,55;BBB-03;1;7
OFF-BI-10002194;Wsparcie biura;Segregatory;Cardinal Hold-It CD Pocket;-1,04;LEC-23;16;96
OFF-PA-10004071;Wsparcie biura;Papier;Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box;82,11;SCR-27;4;12
OFF-ST-10002743;Wsparcie biura;Składowanie;SAFCO Boltless Steel Shelving;114,78;SCR-27;1;6
FUR-BO-10001601;Meble;Regały;Sauder Mission Library with Doors, Fruitwood Finish;116,58;BES-08;1;8
TEC-PH-10002680;Technologiczne;Telefony;Samsung Galaxy Note 3;197,99;WTF-11;1;5
OFF-ST-10001321;Wsparcie biura;Składowanie;Decoflex Hanging Personal Folder File, Blue;19,58;COL-25;10;70
OFF-PA-10001509;Wsparcie biura;Papier;"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""";13,07;COL-29;1;2
OFF-PA-10003465;Wsparcie biura;Papier;Xerox 1912;28,08;HAR-21;4;12
TEC-PH-10000149;Technologiczne;Telefony;Cisco SPA525G2 IP Phone - Wireless;17,16;X-H-15;2;8
OFF-AR-10003045;Wsparcie biura;Artykuły;Prang Colored Pencils;4,26;PLA-26;10;60
OFF-ST-10000689;Wsparcie biura;Składowanie;Fellowes Strictly Business Drawer File, Letter/Legal Size;157,75;LEC-23;10;20
TEC-AC-10001445;Technologiczne;Akcesoria;Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink;3,67;AKO-14;5;45
TEC-AC-10002567;Technologiczne;Akcesoria;Logitech G602 Wireless Gaming Mouse;108,79;PMM-13;15;150
OFF-LA-10003923;Wsparcie biura;Etykiety;Alphabetical Labels for Top Tab Filing;22,2;PLA-26;19;152
FUR-BO-10001337;Meble;Regały;O'Sullivan Living Dimensions 2-Shelf Bookcases;96,78;STI-01;1;3
TEC-PH-10001924;Technologiczne;Telefony;iHome FM Clock Radio with Lightning Dock;59,49;WTF-11;1;2
TEC-PH-10001363;Technologiczne;Telefony;Apple iPhone 5S;512,99;PC--16;3;9
TEC-PH-10000376;Technologiczne;Telefony;Square Credit Card Reader;8,59;PMM-13;2;8
TEC-AC-10000303;Technologiczne;Akcesoria;Logitech M510 Wireless Mouse;37,19;REN-17;15;90
OFF-ST-10001809;Wsparcie biura;Składowanie;Fellowes Officeware Wire Shelving;91,63;SCR-27;6;36
OFF-EN-10003845;Wsparcie biura;Koperty;Colored Envelopes;5,39;PIE-22;13;65
TEC-AC-10000991;Technologiczne;Akcesoria;Sony Micro Vault Click 8 GB USB 2.0 Flash Drive;53,57;REN-17;5;25
FUR-TA-10001857;Meble;Tabel;Balt Solid Wood Rectangular Table;31,65;TER-06;1;2
OFF-EN-10001434;Wsparcie biura;Koperty;Strathmore #10 Envelopes, Ultimate White;78,54;SCR-27;24;144
OFF-BI-10002498;Wsparcie biura;Segregatory;Clear Mylar Reinforcing Strips;20;TYP-30;24;240
FUR-FU-10004864;Meble;Meble;"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock";84,4;AVF-02;1;4
FUR-FU-10000073;Meble;Meble;Deflect-O Glasstique Clear Desk Accessories;10,24;BBB-03;1;7
OFF-BI-10001670;Wsparcie biura;Segregatory;Vinyl Sectional Post Binders;3,77;LEC-23;6;36
OFF-BI-10001658;Wsparcie biura;Segregatory;GBC Standard Therm-A-Bind Covers;1,5;PIE-22;12;60
FUR-CH-10001215;Meble;Krzesła;Global Troy Executive Leather Low-Back Tilter;425,84;BES-08;1;5
OFF-BI-10000831;Wsparcie biura;Segregatory;Storex Flexible Poly Binders with Double Pockets;0,16;SCR-27;23;184
OFF-PA-10000357;Wsparcie biura;Papier;White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11;44,68;COL-25;3;12
OFF-AR-10001662;Wsparcie biura;Artykuły;Rogers Handheld Barrel Pencil Sharpener;3,48;PLA-26;23;207
OFF-AR-10003856;Wsparcie biura;Artykuły;Newell 344;3,5;LEC-23;10;50
OFF-BI-10003527;Wsparcie biura;Segregatory;Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind;1906,49;TYP-30;6;42
FUR-FU-10001290;Meble;Meble;Executive Impressions Supervisor Wall Clock;55,57;ANG-05;1;2
TEC-AC-10002399;Technologiczne;Akcesoria;SanDisk Cruzer 32 GB USB Flash Drive;25,11;REN-17;15;135
OFF-AR-10003811;Wsparcie biura;Artykuły;Newell 327;2,81;COL-29;22;154
OFF-AR-10001246;Wsparcie biura;Artykuły;Newell 317;3,8;HAR-21;17;102
TEC-CO-10003236;Technologiczne;Kopiarki;Canon Image Class D660 Copier;875,99;WTF-11;1;2
OFF-ST-10004507;Wsparcie biura;Składowanie;Advantus Rolling Storage Box;21,78;TYP-30;3;27
OFF-PA-10001667;Wsparcie biura;Papier;Great White Multi-Use Recycled Paper (20Lb. and 84 Bright);8,67;COL-25;4;16
OFF-ST-10004459;Wsparcie biura;Składowanie;Tennsco Single-Tier Lockers;394,11;PIE-22;3;21
OFF-ST-10000736;Wsparcie biura;Składowanie;Carina Double Wide Media Storage Towers in Natural & Black;51,83;PEN-28;3;18
OFF-BI-10000285;Wsparcie biura;Segregatory;XtraLife ClearVue Slant-D Ring Binders by Cardinal;-0,78;COL-29;18;162
TEC-PH-10003555;Technologiczne;Telefony;Motorola HK250 Universal Bluetooth Headset;14,26;PC--16;2;8
OFF-FA-10002815;Wsparcie biura;Łączniki;Staples;6,53;TYP-30;24;120
FUR-CH-10003379;Meble;Krzesła;Global Commerce Series High-Back Swivel/Tilt Chairs;242,23;AVF-02;1;4
OFF-ST-10004963;Wsparcie biura;Składowanie;Eldon Gobal File Keepers;9,69;MED-24;1;4
OFF-SU-10002881;Wsparcie biura;Wsparcie;Martin Yale Chadless Opener Electric Letter Opener;516,34;PIE-22;20;120
OFF-EN-10001335;Wsparcie biura;Koperty;White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes;12,03;COL-25;6;30
FUR-CH-10000595;Meble;Krzesła;Safco Contoured Stacking Chairs;202,64;OBE-10;1;6
FUR-FU-10000448;Meble;Meble;Tenex Chairmats For Use With Carpeted Floors;16,78;EXW-09;1;10
